#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
Xevious - Fardraut Densetsu (Japan);Xevious - Fardraut Densetsu;NEC PC Engine;;None;None;;;;;;;;;;;;
Youkai Douchuuki (Japan);Youkai Douchuuki;NEC PC Engine;;;;;;;;;0;;;;;;
Youkai Douchuuki (Japan);Youkai Douchuuki;NEC PC Engine;;None;None;;;;;;;;;;;;
Youkai Douchuuki (Japan);Youkai Douchuuki;NEC PC Engine;;;;;;;;;0;;;;;;
Youkai Douchuuki (Japan);Youkai Douchuuki;NEC PC Engine;;None;None;;;;;;;;;;;;
Yuu Yuu Hakusho Gaiden (Japan);Yuu Yuu Hakusho Gaiden (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
Yuu Yuu Hakusho Gaiden (Japan);Yuu Yuu Hakusho Gaiden (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
Yuu Yuu Jinsei - Victory Life (Japan);Yuu Yuu Jinsei - Victory Life;NEC PC Engine;;;;;;;;;0;;;;;;
Yuu Yuu Jinsei - Victory Life (Japan);Yuu Yuu Jinsei - Victory Life;NEC PC Engine;;None;None;;;;;;;;;;;;
Yuu Yuu Jinsei - Victory Life (Japan);Yuu Yuu Jinsei - Victory Life;NEC PC Engine;;;;;;;;;0;;;;;;
Yuu Yuu Jinsei - Victory Life (Japan);Yuu Yuu Jinsei - Victory Life;NEC PC Engine;;None;None;;;;;;;;;;;;
Zan Yasha Enbuden (Japan);Zan Yasha Enbuden (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
Zan Yasha Enbuden (Japan);Zan Yasha Enbuden (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
Zipang (Japan);Zipang;NEC PC Engine;;;;;;;;;0;;;;;;
Zipang (Japan);Zipang;NEC PC Engine;;None;None;;;;;;;;;;;;
Zipang (Japan);Zipang;NEC PC Engine;;;;;;;;;0;;;;;;
Zipang (Japan);Zipang;NEC PC Engine;;None;None;;;;;;;;;;;;
Zou! Zou! Zou! Rescue Daisenryaku (Japan);Zou! Zou! Zou! Rescue Daisenryaku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
Zou! Zou! Zou! Rescue Daisenryaku (Japan);Zou! Zou! Zou! Rescue Daisenryaku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
[SegaNet] 16t (Japan);[SegaNet] 16t (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
[SegaNet] 16t (Japan);[SegaNet] 16t (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;;
actraiser;actraiser;Nintendo BS-X Satellaview;;;;;;;;;;;;;;;
actraiser;actraiser;Nintendo BS-X Satellaview;;;;;;;;;;;;;;;
ad2083;A.D. 2083 [Incomplete Sound];Final Burn Alpha;;1983;Midcoin;Shooter / Field;;;;;0;;;;;;
ad2083;A.D. 2083 [Incomplete Sound];Final Burn Alpha;;1983;Midcoin;Shooter / Field;;;;;;;;;;;
ad2083;A.D. 2083 [Incomplete Sound];Final Burn Alpha;;1983;Midcoin;Shooter / Field;;;;;0;;;;;;
ad2083;A.D. 2083 [Incomplete Sound];Final Burn Alpha;;1983;Midcoin;Shooter / Field;;;;;;;;;;;
advbatr;The Adventures of Batman & Robin (Euro);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatr;The Adventures of Batman & Robin (Euro);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatr;The Adventures of Batman & Robin (Euro);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatr;The Adventures of Batman & Robin (Euro);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp01;The Adventures of Batman & Robin (Prototype, 19950501);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp01;The Adventures of Batman & Robin (Prototype, 19950501);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp01;The Adventures of Batman & Robin (Prototype, 19950501);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp01;The Adventures of Batman & Robin (Prototype, 19950501);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp02;The Adventures of Batman & Robin (Prototype, 19950428);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp02;The Adventures of Batman & Robin (Prototype, 19950428);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp02;The Adventures of Batman & Robin (Prototype, 19950428);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp02;The Adventures of Batman & Robin (Prototype, 19950428);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp03;The Adventures of Batman & Robin (Prototype, 19950427);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp03;The Adventures of Batman & Robin (Prototype, 19950427);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp03;The Adventures of Batman & Robin (Prototype, 19950427);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp03;The Adventures of Batman & Robin (Prototype, 19950427);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp04;The Adventures of Batman & Robin (Prototype, 19950426);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp04;The Adventures of Batman & Robin (Prototype, 19950426);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp04;The Adventures of Batman & Robin (Prototype, 19950426);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp04;The Adventures of Batman & Robin (Prototype, 19950426);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp05;The Adventures of Batman & Robin (Prototype, 19950424);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp05;The Adventures of Batman & Robin (Prototype, 19950424);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp05;The Adventures of Batman & Robin (Prototype, 19950424);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp05;The Adventures of Batman & Robin (Prototype, 19950424);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp06;The Adventures of Batman & Robin (Prototype, 19950422);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp06;The Adventures of Batman & Robin (Prototype, 19950422);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp06;The Adventures of Batman & Robin (Prototype, 19950422);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp06;The Adventures of Batman & Robin (Prototype, 19950422);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp07;The Adventures of Batman & Robin (Prototype, 19950421);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp07;The Adventures of Batman & Robin (Prototype, 19950421);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp07;The Adventures of Batman & Robin (Prototype, 19950421);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp07;The Adventures of Batman & Robin (Prototype, 19950421);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp08;The Adventures of Batman & Robin (Prototype, 19950419);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp08;The Adventures of Batman & Robin (Prototype, 19950419);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp08;The Adventures of Batman & Robin (Prototype, 19950419);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp08;The Adventures of Batman & Robin (Prototype, 19950419);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp09;The Adventures of Batman & Robin (Prototype, 19950418);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp09;The Adventures of Batman & Robin (Prototype, 19950418);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp09;The Adventures of Batman & Robin (Prototype, 19950418);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp09;The Adventures of Batman & Robin (Prototype, 19950418);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp10;The Adventures of Batman & Robin (Prototype, 19950411);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp10;The Adventures of Batman & Robin (Prototype, 19950411);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp10;The Adventures of Batman & Robin (Prototype, 19950411);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp10;The Adventures of Batman & Robin (Prototype, 19950411);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp11;The Adventures of Batman & Robin (Prototype, 19950410);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp11;The Adventures of Batman & Robin (Prototype, 19950410);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp11;The Adventures of Batman & Robin (Prototype, 19950410);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp11;The Adventures of Batman & Robin (Prototype, 19950410);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp12;The Adventures of Batman & Robin (Prototype, 19950406);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp12;The Adventures of Batman & Robin (Prototype, 19950406);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatrp12;The Adventures of Batman & Robin (Prototype, 19950406);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatrp12;The Adventures of Batman & Robin (Prototype, 19950406);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatru;The Adventures of Batman & Robin (USA);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatru;The Adventures of Batman & Robin (USA);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
advbatru;The Adventures of Batman & Robin (USA);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;;
advbatru;The Adventures of Batman & Robin (USA);Final Burn Alpha;;1995;Sega;;;;;;;;;;;;
aeroblst;Aero Blasters Trouble Specialty Raid Unit (Jpn);Final Burn Alpha;;1991;Kaneko;;;;;;0;;;;;;
aeroblst;Aero Blasters Trouble Specialty Raid Unit (Jpn);Final Burn Alpha;;1991;Kaneko;;;;;;0;;;;;;
