#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
swotl;swotl;Microsoft MS-DOS;;;;;;;;;;;;;;
td2192;td2192;Microsoft MS-DOS;;;;;;;;;;;;;;
tdrive3;tdrive3;Microsoft MS-DOS;;;;;;;;;;;;;;
termvelo;termvelo;Microsoft MS-DOS;;;;;;;;;;;;;;
tfx;tfx;Microsoft MS-DOS;;;;;;;;;;;;;;
thmhosp;thmhosp;Microsoft MS-DOS;;;;;;;;;;;;;;
thmpark;thmpark;Microsoft MS-DOS;;;;;;;;;;;;;;
tim1;tim1;Microsoft MS-DOS;;;;;;;;;;;;;;
tim2;tim2;Microsoft MS-DOS;;;;;;;;;;;;;;
totalecl;totalecl;Microsoft MS-DOS;;;;;;;;;;;;;;
tyrian2k;tyrian2k;Microsoft MS-DOS;;;;;;;;;;;;;;
ufoenemy;ufoenemy;Microsoft MS-DOS;;;;;;;;;;;;;;
ugh;ugh;Microsoft MS-DOS;;;;;;;;;;;;;;
veilofd;veilofd;Microsoft MS-DOS;;;;;;;;;;;;;;
warcr1;warcr1;Microsoft MS-DOS;;;;;;;;;;;;;;
warcr2;warcr2;Microsoft MS-DOS;;;;;;;;;;;;;;
wingcoma;wingcoma;Microsoft MS-DOS;;;;;;;;;;;;;;
winter;winter;Microsoft MS-DOS;;;;;;;;;;;;;;
wolf3d;wolf3d;Microsoft MS-DOS;;;;;;;;;;;;;;
wolfpack;wolfpack;Microsoft MS-DOS;;;;;;;;;;;;;;
wormsp;wormsp;Microsoft MS-DOS;;;;;;;;;;;;;;
wwheels;wwheels;Microsoft MS-DOS;;;;;;;;;;;;;;
xenon2;xenon2;Microsoft MS-DOS;;;;;;;;;;;;;;
xwing;xwing;Microsoft MS-DOS;;;;;;;;;;;;;;
