#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;
mikiehs;Mikie (High School Graffiti);Final Burn Alpha;;1984;Konami;;;;;;;;;;;;
mikiehs;Mikie (High School Graffiti);Final Burn Alpha;;1984;Konami;;;;;;0;;;;;;
mikiehs;Mikie (High School Graffiti);Final Burn Alpha;;1984;Konami;;;;;;;;;;;;
miltrymd;Military Madness;Final Burn Alpha;;1989;NEC;;;;;;0;;;;;;
miltrymd;Military Madness;Final Burn Alpha;;1989;NEC;;;;;;;;;;;;
miltrymd;Military Madness;Final Burn Alpha;;1989;NEC;;;;;;0;;;;;;
miltrymd;Military Madness;Final Burn Alpha;;1989;NEC;;;;;;;;;;;;
gtmr2a;Mille Miglia 2 Great 1000 Miles Rally (95/04/04);Final Burn Alpha;;1995;Kaneko;;;;;;0;;;;;;
gtmr2a;Mille Miglia 2 Great 1000 Miles Rally (95/04/04);Final Burn Alpha;;1995;Kaneko;;;;;;0;;;;;;
gtmr2;Mille Miglia 2 Great 1000 Miles Rally (95/05/24);Final Burn Alpha;;1995;Kaneko;;;;;;0;;;;;;
gtmr2;Mille Miglia 2 Great 1000 Miles Rally (95/05/24);Final Burn Alpha;;1995;Kaneko;;;;;;0;;;;;;
gtmr2a;Mille Miglia 2: Great 1000 Miles Rally (95/04/04);Final Burn Alpha;;1995;Kaneko;;;;;;;;;;;;
gtmr2a;Mille Miglia 2: Great 1000 Miles Rally (95/04/04);Final Burn Alpha;;1995;Kaneko;;;;;;;;;;;;
gtmr2;Mille Miglia 2: Great 1000 Miles Rally (95/05/24);Final Burn Alpha;;1995;Kaneko;;;;;;;;;;;;
gtmr2;Mille Miglia 2: Great 1000 Miles Rally (95/05/24);Final Burn Alpha;;1995;Kaneko;;;;;;;;;;;;
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);Final Burn Alpha;;1990;Monolith Corp.;;;;;;0;;;;;;
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);Final Burn Alpha;;1990;Monolith Corp.;;;;;;;;;;;;
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);Final Burn Alpha;;1990;Monolith Corp.;;;;;;0;;;;;;
minasan;Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001);Final Burn Alpha;;1990;Monolith Corp.;;;;;;;;;;;;
traysiaj;Minato no Traysia (Jpn);Final Burn Alpha;;1992;Riot;;;;;;0;;;;;;
traysiaj;Minato no Traysia (Jpn);Final Burn Alpha;;1992;Riot;;;;;;;;;;;;
traysiaj;Minato no Traysia (Jpn);Final Burn Alpha;;1992;Riot;;;;;;0;;;;;;
traysiaj;Minato no Traysia (Jpn);Final Burn Alpha;;1992;Riot;;;;;;;;;;;;
minefld;Minefield;Final Burn Alpha;;1983;Stern;;;;;;0;;;;;;
minefld;Minefield;Final Burn Alpha;;1983;Stern;;;;;;;;;;;;
minefld;Minefield;Final Burn Alpha;;1983;Stern;;;;;;0;;;;;;
minefld;Minefield;Final Burn Alpha;;1983;Stern;;;;;;;;;;;;
minivadr;Minivader;Final Burn Alpha;;1990;Taito Corporation;;;;;;0;;;;;;
minivadr;Minivader;Final Burn Alpha;;1990;Taito Corporation;;;;;;;;;;;;
minivadr;Minivader;Final Burn Alpha;;1990;Taito Corporation;;;;;;0;;;;;;
minivadr;Minivader;Final Burn Alpha;;1990;Taito Corporation;;;;;;;;;;;;
mfpool;Minnesota Fats - Pool Legend (USA);Final Burn Alpha;;1995;Data East;;;;;;0;;;;;;
mfpool;Minnesota Fats - Pool Legend (USA);Final Burn Alpha;;1995;Data East;;;;;;;;;;;;
mfpool;Minnesota Fats - Pool Legend (USA);Final Burn Alpha;;1995;Data East;;;;;;0;;;;;;
mfpool;Minnesota Fats - Pool Legend (USA);Final Burn Alpha;;1995;Data East;;;;;;;;;;;;
msbingo;Miss Bingo;Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
msbingo;Miss Bingo;Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
msbingo;Miss Bingo;Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
msbingo;Miss Bingo;Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
missmw96;Miss Mister World '96 (Nude);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missmw96;Miss Mister World '96 (Nude);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missmw96;Miss Mister World '96 (Nude);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missmw96;Miss Mister World '96 (Nude);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
mspacmanbgd;Miss Pukman ('Made in Greece' bootleg) [Bootleg];Final Burn Alpha;;1981;bootleg (Datamat);;;;;;0;;;;;;
mspacmanbgd;Miss Pukman ('Made in Greece' bootleg) [Bootleg];Final Burn Alpha;;1981;bootleg (Datamat);;;;;;;;;;;;
mspacmanbgd;Miss Pukman ('Made in Greece' bootleg) [Bootleg];Final Burn Alpha;;1981;bootleg (Datamat);;;;;;0;;;;;;
mspacmanbgd;Miss Pukman ('Made in Greece' bootleg) [Bootleg];Final Burn Alpha;;1981;bootleg (Datamat);;;;;;;;;;;;
mspuzzle;Miss Puzzle;Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
mspuzzle;Miss Puzzle;Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
mspuzzle;Miss Puzzle;Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
mspuzzle;Miss Puzzle;Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
mspuzzleg;Miss Puzzle (Clone of Gumbo);Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
mspuzzleg;Miss Puzzle (Clone of Gumbo);Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
mspuzzleg;Miss Puzzle (Clone of Gumbo);Final Burn Alpha;;1994;Min Corp.;;;;;;0;;;;;;
mspuzzleg;Miss Puzzle (Clone of Gumbo);Final Burn Alpha;;1994;Min Corp.;;;;;;;;;;;;
missw96a;Miss World '96 (Nude) (set 2);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96a;Miss World '96 (Nude) (set 2);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missw96a;Miss World '96 (Nude) (set 2);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96a;Miss World '96 (Nude) (set 2);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missw96b;Miss World '96 (Nude) (set 3);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96b;Miss World '96 (Nude) (set 3);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missw96b;Miss World '96 (Nude) (set 3);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96b;Miss World '96 (Nude) (set 3);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missw96;Miss World '96 (Nude) (set1);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96;Miss World '96 (Nude) (set1);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
missw96;Miss World '96 (Nude) (set1);Final Burn Alpha;;1996;Comad;;;;;;0;;;;;;
missw96;Miss World '96 (Nude) (set1);Final Burn Alpha;;1996;Comad;;;;;;;;;;;;
mrviking;Mister Viking (315-5041);Final Burn Alpha;;1984;Sega;;;;;;0;;;;;;
mrviking;Mister Viking (315-5041);Final Burn Alpha;;1984;Sega;;;;;;;;;;;;
mrviking;Mister Viking (315-5041);Final Burn Alpha;;1984;Sega;;;;;;0;;;;;;
mrviking;Mister Viking (315-5041);Final Burn Alpha;;1984;Sega;;;;;;;;;;;;
mrvikingj;Mister Viking (315-5041, Japan);Final Burn Alpha;;1984;Sega;;;;;;0;;;;;;
mrvikingj;Mister Viking (315-5041, Japan);Final Burn Alpha;;1984;Sega;;;;;;;;;;;;
mrvikingj;Mister Viking (315-5041, Japan);Final Burn Alpha;;1984;Sega;;;;;;0;;;;;;
mrvikingj;Mister Viking (315-5041, Japan);Final Burn Alpha;;1984;Sega;;;;;;;;;;;;
quiz18k;Miyasu Nonki no Quiz 18-Kin;Final Burn Alpha;;1992;EIM;;;;;;0;;;;;;
quiz18k;Miyasu Nonki no Quiz 18-Kin;Final Burn Alpha;;1992;EIM;;;;;;;;;;;;
quiz18k;Miyasu Nonki no Quiz 18-Kin;Final Burn Alpha;;1992;EIM;;;;;;0;;;;;;
quiz18k;Miyasu Nonki no Quiz 18-Kin;Final Burn Alpha;;1992;EIM;;;;;;;;;;;;
mizubaku;Mizubaku Daibouken (Japan);Final Burn Alpha;;1990;Taito Corporation;;;;;;0;;;;;;
mizubaku;Mizubaku Daibouken (Japan);Final Burn Alpha;;1990;Taito Corporation;;;;;;;;;;;;
mizubaku;Mizubaku Daibouken (Japan);Final Burn Alpha;;1990;Taito Corporation;;;;;;0;;;;;;
mizubaku;Mizubaku Daibouken (Japan);Final Burn Alpha;;1990;Taito Corporation;;;;;;;;;;;;
msgundam;Mobile Suit Gundam;Final Burn Alpha;;1993;Banpresto;;;;;;0;;;;;;
msgundam;Mobile Suit Gundam;Final Burn Alpha;;1993;Banpresto;;;;;;;;;;;;
msgundam;Mobile Suit Gundam;Final Burn Alpha;;1993;Banpresto;;;;;;0;;;;;;
msgundam;Mobile Suit Gundam;Final Burn Alpha;;1993;Banpresto;;;;;;;;;;;;
msgundam1;Mobile Suit Gundam (Japan);Final Burn Alpha;;1993;Banpresto;;;;;;0;;;;;;
msgundam1;Mobile Suit Gundam (Japan);Final Burn Alpha;;1993;Banpresto;;;;;;;;;;;;
msgundam1;Mobile Suit Gundam (Japan);Final Burn Alpha;;1993;Banpresto;;;;;;0;;;;;;
msgundam1;Mobile Suit Gundam (Japan);Final Burn Alpha;;1993;Banpresto;;;;;;;;;;;;
gundamex;Mobile Suit Gundam EX Revue;Final Burn Alpha;;1994;Banpresto;;;;;;0;;;;;;
gundamex;Mobile Suit Gundam EX Revue;Final Burn Alpha;;1994;Banpresto;;;;;;;;;;;;
gundamex;Mobile Suit Gundam EX Revue;Final Burn Alpha;;1994;Banpresto;;;;;;0;;;;;;
gundamex;Mobile Suit Gundam EX Revue;Final Burn Alpha;;1994;Banpresto;;;;;;;;;;;;
mogura;Mogura Desse [Konami test board];Final Burn Alpha;;1991;Konami;;;;;;0;;;;;;
mogura;Mogura Desse [Konami test board];Final Burn Alpha;;1991;Konami;;;;;;;;;;;;
mogura;Mogura Desse [Konami test board];Final Burn Alpha;;1991;Konami;;;;;;0;;;;;;
mogura;Mogura Desse [Konami test board];Final Burn Alpha;;1991;Konami;;;;;;;;;;;;
mole;Mole Attack;Final Burn Alpha;;1982;Yachiyo Electronics, Ltd.;;;;;;0;;;;;;
mole;Mole Attack;Final Burn Alpha;;1982;Yachiyo Electronics, Ltd.;;;;;;;;;;;;
mole;Mole Attack;Final Burn Alpha;;1982;Yachiyo Electronics, Ltd.;;;;;;0;;;;;;
mole;Mole Attack;Final Burn Alpha;;1982;Yachiyo Electronics, Ltd.;;;;;;;;;;;;
momoko;Momoko 120%;Final Burn Alpha;;1986;Jaleco;;;;;;0;;;;;;
momoko;Momoko 120%;Final Burn Alpha;;1986;Jaleco;;;;;;;;;;;;
momoko;Momoko 120%;Final Burn Alpha;;1986;Jaleco;;;;;;0;;;;;;
momoko;Momoko 120%;Final Burn Alpha;;1986;Jaleco;;;;;;;;;;;;
momogdn;Momotarou Densetsu Gaiden Dai 1 Shuu;Final Burn Alpha;;1992;Hudson;;;;;;0;;;;;;
momogdn;Momotarou Densetsu Gaiden Dai 1 Shuu;Final Burn Alpha;;1992;Hudson;;;;;;;;;;;;
momogdn;Momotarou Densetsu Gaiden Dai 1 Shuu;Final Burn Alpha;;1992;Hudson;;;;;;0;;;;;;
momogdn;Momotarou Densetsu Gaiden Dai 1 Shuu;Final Burn Alpha;;1992;Hudson;;;;;;;;;;;;
momo2;Momotarou Densetsu II;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momo2;Momotarou Densetsu II;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
momo2;Momotarou Densetsu II;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momo2;Momotarou Densetsu II;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
momotrbo;Momotarou Densetsu Turbo;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momotrbo;Momotarou Densetsu Turbo;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
momotrbo;Momotarou Densetsu Turbo;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momotrbo;Momotarou Densetsu Turbo;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
momoktsg;Momotarou Katsugeki;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momoktsg;Momotarou Katsugeki;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
momoktsg;Momotarou Katsugeki;Final Burn Alpha;;1990;Hudson;;;;;;0;;;;;;
momoktsg;Momotarou Katsugeki;Final Burn Alpha;;1990;Hudson;;;;;;;;;;;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;Final Burn Alpha;;1997;Face;;;;;;0;;;;;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;Final Burn Alpha;;1997;Face;;;;;;;;;;;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;Final Burn Alpha;;1997;Face;;;;;;0;;;;;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;Final Burn Alpha;;1997;Face;;;;;;;;;;;;
monopoly;Monopoly (USA);Final Burn Alpha;;1992;Parker Brothers;;;;;;0;;;;;;
monopoly;Monopoly (USA);Final Burn Alpha;;1992;Parker Brothers;;;;;;;;;;;;
monopoly;Monopoly (USA);Final Burn Alpha;;1992;Parker Brothers;;;;;;0;;;;;;
monopoly;Monopoly (USA);Final Burn Alpha;;1992;Parker Brothers;;;;;;;;;;;;
monopolyp;Monopoly (USA, Prototype);Final Burn Alpha;;1992;Parker Brothers;;;;;;0;;;;;;
monopolyp;Monopoly (USA, Prototype);Final Burn Alpha;;1992;Parker Brothers;;;;;;;;;;;;
monopolyp;Monopoly (USA, Prototype);Final Burn Alpha;;1992;Parker Brothers;;;;;;0;;;;;;
monopolyp;Monopoly (USA, Prototype);Final Burn Alpha;;1992;Parker Brothers;;;;;;;;;;;;
mnstprow;Monster Pro Wres;Final Burn Alpha;;1991;ASK;;;;;;0;;;;;;
mnstprow;Monster Pro Wres;Final Burn Alpha;;1991;ASK;;;;;;;;;;;;
mnstprow;Monster Pro Wres;Final Burn Alpha;;1991;ASK;;;;;;0;;;;;;
mnstprow;Monster Pro Wres;Final Burn Alpha;;1991;ASK;;;;;;;;;;;;
mworld4;Monster World IV (Jpn);Final Burn Alpha;;1994;Sega;;;;;;0;;;;;;
